row_id,file,sent_id,token_order
165,1900-01a,1900-01a:11065,0
166,1900-01a,1900-01a:12071,0
167,1900-01a,1900-01a:13045,0
168,1900-01a,1900-01a:13102,0
169,1900-01a,1900-01a:13348,0
170,1900-01a,1900-01a:13701,0
171,1900-01a,1900-01a:15585,0
172,1900-01a,1900-01a:15624,0
173,1900-01a,1900-01a:15641,0
174,1900-01a,1900-01a:15920,0
175,1900-01a,1900-01a:15925,0
176,1900-01a,1900-01a:15939,0
177,1900-01a,1900-01a:15981,0
178,1900-01a,1900-01a:15983,0
179,1900-01a,1900-01a:16871,0
180,1900-01a,1900-01a:16924,0
181,1900-01a,1900-01a:17400,0
182,1900-01a,1900-01a:17408,0
183,1900-01a,1900-01a:17410,0
184,1900-01a,1900-01a:18004,0
185,1900-01a,1900-01a:18053,0
186,1900-01a,1900-01a:18833,0
187,1900-01a,1900-01a:18855,0
188,1900-01a,1900-01a:18855,1
189,1900-01a,1900-01a:18866,0
190,1900-01a,1900-01a:18890,0
191,1900-01a,1900-01a:18891,0
192,1900-01a,1900-01a:18892,0
193,1900-01a,1900-01a:18893,0
194,1900-01a,1900-01a:18923,0
195,1900-01a,1900-01a:18931,0
196,1900-01a,1900-01a:18944,0
197,1900-01a,1900-01a:18950,0
198,1900-01a,1900-01a:19688,0
199,1900-01a,1900-01a:19693,0
200,1900-01a,1900-01a:19932,0
201,1900-01a,1900-01a:20389,0
202,1900-01a,1900-01a:20390,0
203,1900-01a,1900-01a:20422,0
204,1900-01a,1900-01a:20422,1
205,1900-01a,1900-01a:20434,0
206,1900-01a,1900-01a:20444,0
207,1900-01a,1900-01a:20466,0
208,1900-01a,1900-01a:20468,0
209,1900-01a,1900-01a:20472,0
210,1900-01a,1900-01a:20478,0
211,1900-01a,1900-01a:20483,0
212,1900-01a,1900-01a:20517,0
213,1900-01a,1900-01a:20554,0
214,1900-01a,1900-01a:20554,1
215,1900-01a,1900-01a:20554,2
216,1900-01a,1900-01a:20561,0
217,1900-01a,1900-01a:20563,0
218,1900-01a,1900-01a:20573,0
219,1900-01a,1900-01a:20604,0
220,1900-01a,1900-01a:20666,0
221,1900-01a,1900-01a:20993,0
222,1900-01a,1900-01a:20994,0
223,1900-01a,1900-01a:20995,0
224,1900-01a,1900-01a:21424,0
225,1900-01a,1900-01a:21763,0
226,1900-01a,1900-01a:21763,1
227,1900-01a,1900-01a:21763,2
