title,phrase
Manifesto,Das Manifest
Manifesto,Manifesto
Manifesto,Manifest
Manifesto,Manifest der Kommunistischen Partei
Manifesto,Kommunistische Manifest
Kapital,Das Kapital
Kapital,Kapital
Kapital,Erste Band das Kapital
Kapital,Erste Band
Kapital,Band
