file,file_offset,file_length
1896-97aCLEAN_chunk_119.txt,2323909,42910
1896-97aCLEAN_chunk_120.txt,2366819,14181
1896-97aCLEAN_chunk_121.txt,2381000,27063
1896-97aCLEAN_chunk_122.txt,2408063,26420
1896-97aCLEAN_chunk_123.txt,2434483,26817
1896-97aCLEAN_chunk_124.txt,2461300,4866
1896-97aCLEAN_chunk_125.txt,2466166,19545
1896-97aCLEAN_chunk_126.txt,2485711,11324
1896-97aCLEAN_chunk_127.txt,2497035,41458
1896-97aCLEAN_chunk_128.txt,2538493,21898
1896-97aCLEAN_chunk_129.txt,2560391,19836
1896-97aCLEAN_chunk_130.txt,2580227,23142
1896-97aCLEAN_chunk_131.txt,2603369,17329
1896-97aCLEAN_chunk_132.txt,2620698,20822
1896-97aCLEAN_chunk_133.txt,2641520,43000
1896-97aCLEAN_chunk_134.txt,2684520,10680
1896-97aCLEAN_chunk_135.txt,2695200,5777
1896-97aCLEAN_chunk_136.txt,2700977,13125
1896-97aCLEAN_chunk_137.txt,2714102,13102
1896-97aCLEAN_chunk_138.txt,2727204,35211
1896-97aCLEAN_chunk_139.txt,2762415,20577
1896-97aCLEAN_chunk_140.txt,2782992,15556
1896-97aCLEAN_chunk_141.txt,2798548,31150
1896-97aCLEAN_chunk_142.txt,2829698,11301
1896-97aCLEAN_chunk_143.txt,2840999,39518
1896-97aCLEAN_chunk_144.txt,2880517,29324
1896-97aCLEAN_chunk_145.txt,2909841,17248
1896-97aCLEAN_chunk_146.txt,2927089,4111
1896-97aCLEAN_chunk_147.txt,2931200,15269
1896-97aCLEAN_chunk_148.txt,2946469,14047
1896-97aCLEAN_chunk_149.txt,2960516,23784
1896-97aCLEAN_chunk_150.txt,2984300,33110
1896-97aCLEAN_chunk_151.txt,3017410,14174
1896-97aCLEAN_chunk_152.txt,3031584,9946
1896-97aCLEAN_chunk_153.txt,3041530,33222
